561	刚	剛
562	句
563	显	顯
564	消
565	衣
566	陆	陸
567	器
568	确	確
569	破
570	具
571	居
572	批
573	送
574	泽	澤
575	紧	緊
576	帮	幫
577	线	線
578	存
579	愿	願
580	奇
581	害
582	增
583	杨	楊
584	料
585	州
586	节	節
587	左
588	装	裝
589	易
590	著
591	急
592	久
593	低
594	岁	歲
595	需
596	酒
597	河
598	初
599	游
600	严	嚴
601	铁	鐵
602	族
603	除
604	份
605	敢
606	胡
607	血
608	企
609	仍
610	投
611	闻	聞
612	斗
613	纪	紀
614	脚	腳
615	右
616	苏	蘇
617	标	標
618	饭	飯
619	云
620	病
621	医	醫
622	阿
623	答
624	土
625	况	況
626	境
627	软	軟
628	考
629	娘
630	村
631	刀
632	击	擊
633	仅	僅
634	查
635	引
636	朝
637	育
638	续	續
639	独	獨
640	罗	羅
641	买	買
642	户	戶
643	护	護
644	喝
645	朋
646	供
647	责	責
648	项	項
649	背
650	余
651	希
652	卫	衛
653	列
654	图	圖
655	室
656	乱	亂
657	刘	劉
658	爷	爺
659	龙	龍
660	咱
661	章
662	席
663	错	錯
664	兄
665	暗
666	创	創
667	排
668	春
669	须
670	承
671	案
672	忙
673	呼
674	树	樹
675	痛
676	沉
677	啊
678	灵	靈
679	职	職
680	乡	鄉
681	细	細
682	诉	訴
683	态	態
684	停
685	印
686	笔	筆
687	夏
688	助
689	福
690	块	塊
691	冷
692	球
693	姑
694	划
695	既
696	质	質
697	巴
698	致
699	湾	灣
700	演
701	木
702	韦	韋
703	怪
704	围	圍
705	静	靜
706	旁
707	园	園
708	否
709	副
710	辑	輯
711	采
712	食
713	登
714	够	夠
715	赛	賽
716	米
717	假
718	较	較
719	姐
720	楼	樓
721	获
722	孙	孫
723	宣
724	穿
725	诗	詩
726	歌
727	速
728	忽
729	堂
730	敌	敵
731	试	試
732	谢	謝
733	央
734	怀	懷
735	顾	顧
736	验	驗
737	营	營
738	止
739	姓
740	养	養
741	丽	麗
742	属	屬
743	景
744	郭
745	依
746	威
747	按
748	恶	惡
749	慢
750	座
751	罪
752	维	維
753	渐	漸
754	胜	勝
755	藏
756	皇
757	街
758	激
759	异	異
760	摘
761	角
762	瞧
763	负	負
764	施
765	模
766	草
767	某
768	银	銀
769	露
770	阵	陣
771	值
772	班
773	层	層
774	修
775	差
776	味
777	织	織
778	药	藥
779	馆	館
780	密
781	亮
782	律
783	习	習
784	田
785	简	簡
786	免
787	毒
788	归	歸
789	波
790	型
791	屋
792	换	換
793	救
794	寄
795	帝
796	退
797	洋
798	丝	絲
799	湖
800	睡
801	劳	勞
802	妇	婦
803	伯
804	尼
805	皮
806	祖
807	雄
808	婚
809	康
810	评	評
811	追
812	哈
813	络	絡
814	店
815	翻
816	环	環
817	礼	禮
818	跑
819	超
820	叶
821	压	壓
822	占
823	均
824	永
825	烈
826	奖	獎
827	婆
828	赶	趕
829	富
830	兰	蘭
831	录	錄
832	画	畫
833	遇
834	顿	頓
835	艺	藝
836	普
837	判
838	源
839	亿	億
840	素
841	船
842	继	繼
843	尚
844	嘴
845	察
846	雨
847	优	優
848	您
849	险	險
850	烟
851	阶	階
852	担	擔
853	散
854	板
855	钟
856	访	訪
857	妹
857	伸
859	佛
860	限
861	讨	討
862	临	臨
863	吴	吳
864	摇	搖
865	跳
866	曲
867	练	練
868	构	構
869	玩
870	玉
871	犯
872	厂	廠
873	肯
874	协	協
875	幸
876	挥	揮
877	效
878	齐	齊
879	封
880	温	溫
881	疑
882	肉
883	攻
884	纸	紙
885	策
886	充
887	顶	頂
888	寻	尋
889	宁	寧
890	沙
891	防
892	抓
893	例
894	股
895	卖	賣
896	顺	順
897	警
898	梦	夢
899	剧	劇
900	善
901	蒙
902	票
903	良
904	范
905	坚	堅
906	端
907	靠
908	杂	雜
909	贵	貴
910	怒
911	稿
912	拍
913	率
914	旧	舊
915	掉
916	啦
917	莫
918	授
919	守
920	油
921	恩
922	积	積
923	益
924	县	縣
925	哭
926	罢	罷
927	庭
928	窗
929	扬	揚
930	忘
931	午
932	卡
933	雪
934	菜
935	牌
936	牛
937	脱	脫
938	博
939	丈
940	弹	彈
941	洲
942	松
943	坏
944	邓	鄧
945	鲜	鮮
946	短
947	毕	畢
948	置
949	楚
950	欧	歐
951	略
952	智
953	岛	島
954	抗
955	妻
956	抱
957	载	載
958	败	敗
959	枪	槍
960	适	適
961	虚	虛
962	预	預
963	睛
964	刺
965	爹
966	纷	紛
967	介
968	括
969	销	銷
970	降
971	鱼	魚
972	奔
973	忍
974	宗
975	盘	盤
976	耳
977	野
978	讯	訊
979	配
980	禁
981	索
982	赵	趙
983	默
984	徒
985	架
986	灯	燈
987	峰
988	状	狀
989	款
990	移
991	爸
992	托
993	洪
994	升
995	伙
996	订	訂
997	毫
998	狐
999	镇	鎮
1000	床
1001	互
1002	套
1003	旅
1004	逃
1005	骂	罵
1006	输	輸
1007	唱
1008	靖
1009	秘
1010	词	詞
1011	困
1012	泪	淚
1013	熟
1014	财	財
1015	鬼
1016	骨
1017	申
1018	欲
1019	征
1020	私
1021	舞
1022	秋
1023	巨
1024	迎
1025	秀
1026	搞
1027	丁
1028	吸
1029	审	審
1030	遍
1031	墙	牆
1032	朱
1033	圣	聖
1034	避
1035	跃	躍
1036	忌
1037	桌
1038	执	執
1039	悲
1040	域
1041	晓	曉
1042	弄
1043	亡
1044	桥	橋
1045	辈	輩
1046	闪	閃
1047	隐	隱
1048	劲	勁
1049	闹	鬧
1050	恐
1051	呀
1052	付
1053	敬
1054	监	監
1055	厅	廳
1056	库	庫
1057	震
1058	材
1059	冰
1060	醒
1061	庆	慶
1062	绿	綠
1063	腿
1064	述
1065	徐
1066	尊
1067	硬
1068	额	額
1069	误	誤
1070	借
1071	纳	納
1072	折
1073	售
1074	遗	遺
1075	暴
1076	缺
1077	迷
1078	鲁	魯
1079	探
1080	货	貨
1081	童
1082	缓	緩
1083	伟	偉
1084	君
1085	庄	莊
1086	凡
1087	危
1088	烧	燒
1089	彩
1090	抢	搶
1091	控
1092	胸
1093	戏	戲
1094	篇
