key,TRADITIONAL,PRIORITY,PINYIN,DEFINITION
"能",85,0,neng2,"to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of"
"能",85,1,Neng2,"surname Neng"
"自",86,0,zi4,"from; self; oneself; since"
"要",87,0,yao4,"important; vital; to want; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably"
"要",87,1,yao1,"to demand; to request; to coerce"
"道",93,0,dao4,"direction; way; road; path; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin stretches, rivers, roads etc; province (of Korea do 도, and formerly Japan dō); CL:條|条[tiao2],股[gu3]"
"那",95,0,na4,"that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing"
"那",95,1,na3,"variant of 哪[na3]"
"都",96,0,du1,"capital city; metropolis"
"都",96,1,Du1,"surname Du"
"都",96,2,dou1,"all; both; entirely; (used for emphasis) even; already; (not) at all"
"三",99,0,san1,"three; 3"
"三",99,1,San1,"surname San"
"主",103,0,zhu3,"owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games)"
"事",106,0,shi4,"matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1]"
"作",119,0,zuo4,"to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works"
"公",140,0,gong1,"public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable (gentlemen); father-in-law; male (animal)"
"十",159,0,shi2,"ten; 10"
"又",166,0,you4,"(once) again; also; both... and...; and yet; (used for emphasis) anyway"
"她",213,0,ta1,she
"已",231,0,yi3,"already; to stop; then; afterwards"
"手",264,0,shou3,"hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; CL:雙|双[shuang1],隻|只[zhi1]"
"方",286,0,fang1,"square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter"
"方",286,1,Fang1,"surname Fang"
"日",287,0,ri4,"sun; day; date, day of the month; abbr. for 日本 Japan"
"老",380,0,lao3,"prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity; old (of people); venerable (person); experienced; of long standing; always; all the time; of the past; very; outdated; (of meat etc) tough"
"行",402,0,xing2,"to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do"
"行",402,1,hang2,"a row; series; age order (of brothers); profession; professional; relating to company"
"行",402,2,xing4,"behavior; conduct"
"起",442,0,qi3,"to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group"
"面",483,0,mian4,"face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc"
"里",950,0,li3,"li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit"
"里",950,1,Li3,"Li (surname)"
"么",1010,0,yao1,"youngest; most junior; tiny; one (unambiguous spoken form when spelling out numbers, esp. on telephone or in military); one or ace on dice or dominoes; variant of 吆, to shout"
"于",1017,0,yu2,"to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]"
"于",1017,1,Yu2,"surname Yu"
"后",1112,0,hou4,"empress; queen"
"后",1112,1,Hou4,"surname Hou"
"只",4442,0,zhi3,"only; merely; just; but"
