key
"一"
"三"
"上"
"下"
"不"
"两"
"个"
"中"
"为"
"主"
"么"
"之"
"也"
"了"
"事"
"于"
"人"
"从"
"他"
"以"
"们"
"会"
"作"
"你"
"公"
"出"
"到"
"前"
"动"
"十"
"去"
"又"
"发"
"只"
"可"
"同"
"后"
"和"
"国"
"在"
"地"
"多"
"大"
"天"
"头"
"她"
"好"
"如"
"子"
"学"
"家"
"对"
"小"
"就"
"已"
"年"
"开"
"当"
"得"
"心"
"想"
"成"
"我"
"所"
"手"
"文"
"方"
"无"
"日"
"时"
"是"
"有"
"本"
"来"
"没"
"然"
"生"
"用"
"的"
"看"
"着"
"经"
"老"
"而"
"能"
"自"
"行"
"要"
"见"
"说"
"起"
"过"
"还"
"这"
"道"
"那"
"都"
"里"
"长"
"面"
